proyecto_codigo,proyecto_nombre,proyecto_direccion,proyecto_ciudad,proyecto_map_q,proyecto_tiene_carrusel,proyecto_amenities,id,url_landing_relativa,url_ficha_pdf_relativa,title,tipo,tipo_raw,unit_label,piso,m2,m2_numeric,precio_usd,precio_usd_numeric,estado,dormitorios,banos,sup_cubierta_exclusiva,sup_interior_exclusiva,sup_de_uso_exclusiva,patio_exclusivo,balcon_exclusivo,terraza_exclusiva,sup_equivalente,cochera,tiene_planta,floor_plan,planta_title,tiene_dimensiones,dimensions_json,ficha_json,hero_image,desc_image,wa_text,wa_url,tel_url
p14,DRAM,San Martín 470-476,Rosario,San+Mart%C3%ADn+470%2C+Rosario%2C+Santa+Fe%2C+Argentina,True,Hall de ingreso con portería | 2 ascensores de alta velocidad | Cocheras cubiertas disponibles | Bauleras por unidad | Terraza en planta alta | Espacios comunes de diseño,p14_dram_1-01-01,p14_dram_1-01-01/p14_dram_1-01-01.html,p14_dram_1-01-01/ficha.pdf,DRAM · Unidad 01-01 · Piso 1 · Pensaer 14,Departamento 3 dormitorios,DEPARTAMENTO-3 DORMITORIOS,01-01,Piso 1,183,183.0,366.000,366000,Disponible de tercero,3,2,139 m²,,,88 m²,,,183 m²,,True,../plantas_p14/planta_1_a.png,,True,"[{""ambiente"": ""Estar comedor"", ""medida"": ""6,60 × 5,65 m""}, {""ambiente"": ""Cocina"", ""medida"": ""2,40 × 4,15 m""}, {""ambiente"": ""Lavadero"", ""medida"": ""1,90 × 1,90 m""}, {""ambiente"": ""Dormitorio 1"", ""medida"": ""2,95 × 4,15 m""}, {""ambiente"": ""Dormitorio 2"", ""medida"": ""2,80 × 4,05 m""}, {""ambiente"": ""Dormitorio ppal."", ""medida"": ""3,00 × 5,07 m""}, {""ambiente"": ""Vestidor"", ""medida"": ""3,00 × 2,10 m""}, {""ambiente"": ""Baño + Antebaño"", ""medida"": ""1,50 × 4,05 m""}, {""ambiente"": ""Baño en suite"", ""medida"": ""3,10 × 1,95 m""}, {""ambiente"": ""Patio exclusivo"", ""medida"": ""9,10 × 8,15 m""}, {""ambiente"": ""Balcón"", ""medida"": ""2,54 × 2,29 m""}]","[{""clave"": ""Tipo"", ""valor"": ""Departamento""}, {""clave"": ""Dormitorios"", ""valor"": ""3""}, {""clave"": ""Baños"", ""valor"": ""2""}, {""clave"": ""Sup. cubierta exclusiva"", ""valor"": ""139 m²""}, {""clave"": ""Patio exclusivo"", ""valor"": ""88 m²""}, {""clave"": ""Sup. equivalente"", ""valor"": ""183 m²""}, {""clave"": ""Piso"", ""valor"": ""Piso 1""}, {""clave"": ""Precio de lista"", ""valor"": ""USD 366.000""}, {""clave"": ""Estado"", ""valor"": ""Disponible de tercero""}, {""clave"": ""Edificio"", ""valor"": ""DRAM""}]",../render_p14.jpg,,Hola%2C%20me%20interesa%20la%20unidad%2001-01%20del%20edificio%20DRAM%2C%20San%20Mart%C3%ADn%20470,https://wa.me/5493416980855?text=Hola%2C%20me%20interesa%20la%20unidad%2001-01%20del%20edificio%20DRAM%2C%20San%20Mart%C3%ADn%20470,tel:+5493416980855
p14,DRAM,San Martín 470-476,Rosario,San+Mart%C3%ADn+470%2C+Rosario%2C+Santa+Fe%2C+Argentina,True,Hall de ingreso con portería | 2 ascensores de alta velocidad | Cocheras cubiertas disponibles | Bauleras por unidad | Terraza en planta alta | Espacios comunes de diseño,p14_dram_2-02-04,p14_dram_2-02-04/p14_dram_2-02-04.html,p14_dram_2-02-04/ficha.pdf,DRAM · Unidad 02-04 · Piso 2 · Pensaer 14,Departamento 2 dormitorios,DEPARTAMENTO-2 DORMITORIOS,02-04,Piso 2,88,88.0,198.000,198000,Disponible de tercero,2,2,,,88 m²,,,,,,True,../plantas_p14/planta_2-4_d.png,,True,"[{""ambiente"": ""Cocina · Estar comedor"", ""medida"": ""5,88 × 4,70 m""}, {""ambiente"": ""Dormitorio"", ""medida"": ""3,70 × 2,95 m""}, {""ambiente"": ""Dormitorio ppal."", ""medida"": ""3,02 × 3,05 m""}, {""ambiente"": ""Vestidor"", ""medida"": ""1,65 × 2,15 m""}, {""ambiente"": ""Baño"", ""medida"": ""1,60 × 2,95 m""}, {""ambiente"": ""Baño en suite"", ""medida"": ""1,60 × 2,80 m""}, {""ambiente"": ""Balcón"", ""medida"": ""2,10 / 0,79 × 4,10 m""}]","[{""clave"": ""Tipo"", ""valor"": ""Departamento""}, {""clave"": ""Dormitorios"", ""valor"": ""2""}, {""clave"": ""Baños"", ""valor"": ""2""}, {""clave"": ""Sup. de uso exclusiva"", ""valor"": ""88 m²""}, {""clave"": ""Piso"", ""valor"": ""Piso 2""}, {""clave"": ""Precio de lista"", ""valor"": ""USD 198.000""}, {""clave"": ""Estado"", ""valor"": ""Disponible de tercero""}, {""clave"": ""Edificio"", ""valor"": ""DRAM""}]",../render_p14.jpg,,Hola%2C%20me%20interesa%20la%20unidad%2002-04%20del%20edificio%20DRAM%2C%20San%20Mart%C3%ADn%20470,https://wa.me/5493416980855?text=Hola%2C%20me%20interesa%20la%20unidad%2002-04%20del%20edificio%20DRAM%2C%20San%20Mart%C3%ADn%20470,tel:+5493416980855
p14,DRAM,San Martín 470-476,Rosario,San+Mart%C3%ADn+470%2C+Rosario%2C+Santa+Fe%2C+Argentina,True,Hall de ingreso con portería | 2 ascensores de alta velocidad | Cocheras cubiertas disponibles | Bauleras por unidad | Terraza en planta alta | Espacios comunes de diseño,p14_dram_3-03-01,p14_dram_3-03-01/p14_dram_3-03-01.html,p14_dram_3-03-01/ficha.pdf,DRAM · Unidad 03-01 · Piso 3 · Pensaer 14,Departamento 3 dormitorios,DEPARTAMENTO-3 DORMITORIOS,03-01,Piso 3,148,148.0,333.000,333000,Disponible de tercero,3,2,,,148 m²,,,,,,True,../plantas_p14/planta_3-4_a.png,,True,"[{""ambiente"": ""Estar comedor"", ""medida"": ""6,60 × 5,65 m""}, {""ambiente"": ""Cocina"", ""medida"": ""4,30 × 4,10 m""}, {""ambiente"": ""Dormitorio 1"", ""medida"": ""3,00 × 4,05 m""}, {""ambiente"": ""Dormitorio 2"", ""medida"": ""2,80 × 4,20 m""}, {""ambiente"": ""Dormitorio ppal."", ""medida"": ""3,00 × 5,07 m""}, {""ambiente"": ""Vestidor"", ""medida"": ""3,13 × 2,09 m""}, {""ambiente"": ""Baño ppal."", ""medida"": ""1,50 × 4,05 m""}, {""ambiente"": ""Baño en suite"", ""medida"": ""3,05 × 1,95 m""}, {""ambiente"": ""Balcón"", ""medida"": ""6,29 × 2,35 / 1,20 m""}]","[{""clave"": ""Tipo"", ""valor"": ""Departamento""}, {""clave"": ""Dormitorios"", ""valor"": ""3""}, {""clave"": ""Baños"", ""valor"": ""2""}, {""clave"": ""Sup. de uso exclusiva"", ""valor"": ""148 m²""}, {""clave"": ""Piso"", ""valor"": ""Piso 3""}, {""clave"": ""Precio de lista"", ""valor"": ""USD 333.000""}, {""clave"": ""Estado"", ""valor"": ""Disponible de tercero""}, {""clave"": ""Edificio"", ""valor"": ""DRAM""}]",../render_p14.jpg,,Hola%2C%20me%20interesa%20la%20unidad%2003-01%20del%20edificio%20DRAM%2C%20San%20Mart%C3%ADn%20470,https://wa.me/5493416980855?text=Hola%2C%20me%20interesa%20la%20unidad%2003-01%20del%20edificio%20DRAM%2C%20San%20Mart%C3%ADn%20470,tel:+5493416980855
p14,DRAM,San Martín 470-476,Rosario,San+Mart%C3%ADn+470%2C+Rosario%2C+Santa+Fe%2C+Argentina,True,Hall de ingreso con portería | 2 ascensores de alta velocidad | Cocheras cubiertas disponibles | Bauleras por unidad | Terraza en planta alta | Espacios comunes de diseño,p14_dram_8-08-01,p14_dram_8-08-01/p14_dram_8-08-01.html,p14_dram_8-08-01/ficha.pdf,DRAM · Unidad 08-01 · Piso 8 · Pensaer 14,Departamento 3 dormitorios,DEPARTAMENTO-3 DORMITORIOS,08-01,Piso 8,148,148.0,355.200,355200,Disponible de tercero,3,2,,,148 m²,,,,,,True,../plantas_p14/planta_8_a.png,,True,"[{""ambiente"": ""Estar comedor"", ""medida"": ""6,60 × 5,65 m""}, {""ambiente"": ""Cocina"", ""medida"": ""4,30 × 4,10 m""}, {""ambiente"": ""Dormitorio 1"", ""medida"": ""3,00 × 4,05 m""}, {""ambiente"": ""Dormitorio 2"", ""medida"": ""2,80 × 4,20 m""}, {""ambiente"": ""Dormitorio ppal."", ""medida"": ""3,08 × 5,07 m""}, {""ambiente"": ""Vestidor"", ""medida"": ""3,20 × 2,09 m""}, {""ambiente"": ""Baño ppal."", ""medida"": ""1,50 × 4,05 m""}, {""ambiente"": ""Baño en suite"", ""medida"": ""3,19 × 1,95 m""}, {""ambiente"": ""Balcón"", ""medida"": ""6,29 × 2,35 / 1,20 m""}]","[{""clave"": ""Tipo"", ""valor"": ""Departamento""}, {""clave"": ""Dormitorios"", ""valor"": ""3""}, {""clave"": ""Baños"", ""valor"": ""2""}, {""clave"": ""Sup. de uso exclusiva"", ""valor"": ""148 m²""}, {""clave"": ""Piso"", ""valor"": ""Piso 8""}, {""clave"": ""Precio de lista"", ""valor"": ""USD 355.200""}, {""clave"": ""Estado"", ""valor"": ""Disponible de tercero""}, {""clave"": ""Edificio"", ""valor"": ""DRAM""}]",../render_p14.jpg,,Hola%2C%20me%20interesa%20la%20unidad%2008-01%20del%20edificio%20DRAM%2C%20San%20Mart%C3%ADn%20470,https://wa.me/5493416980855?text=Hola%2C%20me%20interesa%20la%20unidad%2008-01%20del%20edificio%20DRAM%2C%20San%20Mart%C3%ADn%20470,tel:+5493416980855
p15ol,Elysian Lagos,Ovidio Lagos 1163,Rosario,Ovidio+Lagos+1163%2C+Rosario%2C+Santa+Fe%2C+Argentina,True,Hall de ingreso vidriado con diseño | Ascensores | Parrillas en terraza | Bauleras disponibles | Espacios comunes equipados,p15_elyol_2-02-02,p15_elyol_2-02-02/p15_elyol_2-02-02.html,p15_elyol_2-02-02/ficha.pdf,Elysian Lagos · Unidad 02-02 · Piso 2 · Pensaer 15,Departamento 1 dormitorio,DEPARTAMENTO-1 DORMITORIO,02-02,Piso 2,"53,5",53.5,98.000,98000,Disponible de tercero,1,1,,,,,,,,,True,../plantas_p15ol/planta_p2.png,Planta del Piso 2°.,False,[],"[{""clave"": ""Tipo"", ""valor"": ""Departamento""}, {""clave"": ""Dormitorios"", ""valor"": ""1""}, {""clave"": ""Baños"", ""valor"": ""1""}, {""clave"": ""Superficie"", ""valor"": ""53,5 m²""}, {""clave"": ""Piso"", ""valor"": ""Piso 2""}, {""clave"": ""Precio de lista"", ""valor"": ""USD 98.000""}, {""clave"": ""Estado"", ""valor"": ""Disponible de tercero""}, {""clave"": ""Edificio"", ""valor"": ""Elysian Lagos""}]",../render_p15_ol.jpg,,Hola%2C%20me%20interesa%20la%20unidad%2002-02%20de%20Elysian%20Ovidio%20Lagos%201163,https://wa.me/5493416980855?text=Hola%2C%20me%20interesa%20la%20unidad%2002-02%20de%20Elysian%20Ovidio%20Lagos%201163,tel:+5493416980855
p15ol,Elysian Lagos,Ovidio Lagos 1163,Rosario,Ovidio+Lagos+1163%2C+Rosario%2C+Santa+Fe%2C+Argentina,True,Hall de ingreso vidriado con diseño | Ascensores | Parrillas en terraza | Bauleras disponibles | Espacios comunes equipados,p15_elyol_3-03-02,p15_elyol_3-03-02/p15_elyol_3-03-02.html,p15_elyol_3-03-02/ficha.pdf,Elysian Lagos · Unidad 03-02 · Piso 3 · Pensaer 15,Departamento 1 dormitorio,DEPARTAMENTO-1 DORMITORIO,03-02,Piso 3,52,52.0,95.000,95000,Disponible de tercero,1,1,,,,,,,,,True,../plantas_p15ol/planta_p3-5.png,Planta del Piso 3° al 5°.,False,[],"[{""clave"": ""Tipo"", ""valor"": ""Departamento""}, {""clave"": ""Dormitorios"", ""valor"": ""1""}, {""clave"": ""Baños"", ""valor"": ""1""}, {""clave"": ""Superficie"", ""valor"": ""52 m²""}, {""clave"": ""Piso"", ""valor"": ""Piso 3""}, {""clave"": ""Precio de lista"", ""valor"": ""USD 95.000""}, {""clave"": ""Estado"", ""valor"": ""Disponible de tercero""}, {""clave"": ""Edificio"", ""valor"": ""Elysian Lagos""}]",../render_p15_ol.jpg,,Hola%2C%20me%20interesa%20la%20unidad%2003-02%20de%20Elysian%20Ovidio%20Lagos%201163,https://wa.me/5493416980855?text=Hola%2C%20me%20interesa%20la%20unidad%2003-02%20de%20Elysian%20Ovidio%20Lagos%201163,tel:+5493416980855
p15ol,Elysian Lagos,Ovidio Lagos 1163,Rosario,Ovidio+Lagos+1163%2C+Rosario%2C+Santa+Fe%2C+Argentina,True,Hall de ingreso vidriado con diseño | Ascensores | Parrillas en terraza | Bauleras disponibles | Espacios comunes equipados,p15_elyol_4-04-02,p15_elyol_4-04-02/p15_elyol_4-04-02.html,p15_elyol_4-04-02/ficha.pdf,Elysian Lagos · Unidad 04-02 · Piso 4 · Pensaer 15,Departamento 1 dormitorio,DEPARTAMENTO-1 DORMITORIO,04-02,Piso 4,52,52.0,95.000,95000,Disponible de tercero,1,1,,,,,,,,,True,../plantas_p15ol/planta_p3-5.png,Planta del Piso 3° al 5°.,False,[],"[{""clave"": ""Tipo"", ""valor"": ""Departamento""}, {""clave"": ""Dormitorios"", ""valor"": ""1""}, {""clave"": ""Baños"", ""valor"": ""1""}, {""clave"": ""Superficie"", ""valor"": ""52 m²""}, {""clave"": ""Piso"", ""valor"": ""Piso 4""}, {""clave"": ""Precio de lista"", ""valor"": ""USD 95.000""}, {""clave"": ""Estado"", ""valor"": ""Disponible de tercero""}, {""clave"": ""Edificio"", ""valor"": ""Elysian Lagos""}]",../render_p15_ol.jpg,,Hola%2C%20me%20interesa%20la%20unidad%2004-02%20de%20Elysian%20Ovidio%20Lagos%201163,https://wa.me/5493416980855?text=Hola%2C%20me%20interesa%20la%20unidad%2004-02%20de%20Elysian%20Ovidio%20Lagos%201163,tel:+5493416980855
p15ol,Elysian Lagos,Ovidio Lagos 1163,Rosario,Ovidio+Lagos+1163%2C+Rosario%2C+Santa+Fe%2C+Argentina,True,Hall de ingreso vidriado con diseño | Ascensores | Parrillas en terraza | Bauleras disponibles | Espacios comunes equipados,p15_elyol_6-06-01,p15_elyol_6-06-01/p15_elyol_6-06-01.html,p15_elyol_6-06-01/ficha.pdf,Elysian Lagos · Unidad 06-01 · Piso 6 · Pensaer 15,Departamento 2 dormitorios,DEPARTAMENTO-2 DORMITORIOS,06-01,Piso 6,"78,5",78.5,150.000,150000,Disponible de tercero,2,2,,,,,,,,,True,../plantas_p15ol/planta_p6-7.png,Planta del Piso 6° al 7°.,False,[],"[{""clave"": ""Tipo"", ""valor"": ""Departamento""}, {""clave"": ""Dormitorios"", ""valor"": ""2""}, {""clave"": ""Baños"", ""valor"": ""2""}, {""clave"": ""Superficie"", ""valor"": ""78,5 m²""}, {""clave"": ""Piso"", ""valor"": ""Piso 6""}, {""clave"": ""Precio de lista"", ""valor"": ""USD 150.000""}, {""clave"": ""Estado"", ""valor"": ""Disponible de tercero""}, {""clave"": ""Edificio"", ""valor"": ""Elysian Lagos""}]",../render_p15_ol.jpg,,Hola%2C%20me%20interesa%20la%20unidad%2006-01%20de%20Elysian%20Ovidio%20Lagos%201163,https://wa.me/5493416980855?text=Hola%2C%20me%20interesa%20la%20unidad%2006-01%20de%20Elysian%20Ovidio%20Lagos%201163,tel:+5493416980855
p15ol,Elysian Lagos,Ovidio Lagos 1163,Rosario,Ovidio+Lagos+1163%2C+Rosario%2C+Santa+Fe%2C+Argentina,True,Hall de ingreso vidriado con diseño | Ascensores | Parrillas en terraza | Bauleras disponibles | Espacios comunes equipados,p15_elyol_7-07-02,p15_elyol_7-07-02/p15_elyol_7-07-02.html,p15_elyol_7-07-02/ficha.pdf,Elysian Lagos · Unidad 07-02 · Piso 7 · Pensaer 15,Departamento 1 dormitorio,DEPARTAMENTO-1 DORMITORIO,07-02,Piso 7,52,52.0,98.000,98000,Disponible de tercero,1,1,,,,,,,,,True,../plantas_p15ol/planta_p6-7.png,Planta del Piso 6° al 7°.,False,[],"[{""clave"": ""Tipo"", ""valor"": ""Departamento""}, {""clave"": ""Dormitorios"", ""valor"": ""1""}, {""clave"": ""Baños"", ""valor"": ""1""}, {""clave"": ""Superficie"", ""valor"": ""52 m²""}, {""clave"": ""Piso"", ""valor"": ""Piso 7""}, {""clave"": ""Precio de lista"", ""valor"": ""USD 98.000""}, {""clave"": ""Estado"", ""valor"": ""Disponible de tercero""}, {""clave"": ""Edificio"", ""valor"": ""Elysian Lagos""}]",../render_p15_ol.jpg,,Hola%2C%20me%20interesa%20la%20unidad%2007-02%20de%20Elysian%20Ovidio%20Lagos%201163,https://wa.me/5493416980855?text=Hola%2C%20me%20interesa%20la%20unidad%2007-02%20de%20Elysian%20Ovidio%20Lagos%201163,tel:+5493416980855
p15ol,Elysian Lagos,Ovidio Lagos 1163,Rosario,Ovidio+Lagos+1163%2C+Rosario%2C+Santa+Fe%2C+Argentina,True,Hall de ingreso vidriado con diseño | Ascensores | Parrillas en terraza | Bauleras disponibles | Espacios comunes equipados,p15_elyol_10y11-01,p15_elyol_10y11-01/p15_elyol_10y11-01.html,p15_elyol_10y11-01/ficha.pdf,Elysian Lagos · Duplex 10-01/11-01 · Piso 10/11 · Pensaer 15,Duplex 3 dormitorios,DEPARTAMENTO-DUPLEX 3 DORMITORIOS,10-01/11-01,Piso 10/11,"127,5",127.5,235.000,235000,Disponible de tercero,3,3,110 m²,,,,,,,,True,../plantas_p15ol/planta_duplex_10-11.png,Planta del Duplex<br>Piso 10° y 11°.,False,[],"[{""clave"": ""Tipo"", ""valor"": ""Duplex""}, {""clave"": ""Dormitorios"", ""valor"": ""3""}, {""clave"": ""Baños"", ""valor"": ""3""}, {""clave"": ""Sup. cubierta exclusiva"", ""valor"": ""110 m²""}, {""clave"": ""Balcones"", ""valor"": ""15 m²""}, {""clave"": ""Superficie equivalente"", ""valor"": ""127,5 m²""}, {""clave"": ""Piso"", ""valor"": ""Piso 10/11""}, {""clave"": ""Precio de lista"", ""valor"": ""USD 235.000""}, {""clave"": ""Estado"", ""valor"": ""Disponible de tercero""}, {""clave"": ""Edificio"", ""valor"": ""Elysian Lagos""}]",../render_p15_ol.jpg,,Hola%2C%20me%20interesa%20el%20duplex%2010-01%2F11-01%20de%20Elysian%20Ovidio%20Lagos%201163,https://wa.me/5493416980855?text=Hola%2C%20me%20interesa%20el%20duplex%2010-01%2F11-01%20de%20Elysian%20Ovidio%20Lagos%201163,tel:+5493416980855
